"X","id","journ","vol","issue","articleNum","title","has.data","url","article.url","data.url","htmlFile","publication.date","data.size","data.unit","keywords","JEL","JEL1","JEL2","JEL3","JEL4","JEL5","JEL6","JEL7","zip.size","data.files.size","size.7z","size.ado","size.c","size.cpp","size.csv","size.dat","size.do","size.dta","size.f95","size.g","size.gms","size.gz","size.java","size.js","size.lng","size.m","size.mat","size.mod","size.nb","size.prg","size.py","size.r","size.rdata","size.sas","size.sas7bdat","size.tar","size.tsp","size.txt","size.xls","size.xlsx","size.xml","size.zip","size.ztt","year","month","date"
5,"aer_105_1_13","aer",105,1,13,"When Does Regulation Distort Costs? Lessons from Fuel Procurement in US Electricity Generation","FALSE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.20130604","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.20131377",NA,"D:/data/EconJournalData/html/aer_vol_105_issue_1_article_13.html","2015/",0,"MB",NA,"L51: Economics of Regulation, L71: Mining, Extraction, and Refining: Hydrocarbon Fuels, L94: Electric Utilities, L98: Industry Studies: Utilities and Transportation: Government Policy, Q35: Hydrocarbon Resources, Q41: Energy: Demand and Supply; Prices, Q48: Energy: Government Policy","L51: Economics of Regulation","L71: Mining, Extraction, and Refining: Hydrocarbon Fuels","L94: Electric Utilities","L98: Industry Studies: Utilities and Transportation: Government Policy","Q35: Hydrocarbon Resources","Q41: Energy: Demand and Supply; Prices","Q48: Energy: Government Policy",2213.8556,2136.562346,0,0,0,0,0,0,0.627954,2136.447698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367668,0,0,0.114648,0,0,2015,1,"2015-1-01"
243,"aer_104_9_3","aer",104,9,3,"Beyond Happiness and Satisfaction: Toward Well-Being Indices Based on Stated Preference","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.104.9.2680","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.104.9.2698","https://www.aeaweb.org/aer/data/10409/20121159_data.zip","D:/data/EconJournalData/html/aer_vol_104_issue_9_article_3.html","2014/09",46.25,"MB",NA,"C43: Index Numbers and Aggregation; Leading indicators, C83: Survey Methods; Sampling Methods, D12: Consumer Economics: Empirical Analysis, I31: General Welfare; Well-Being, , , ","C43: Index Numbers and Aggregation; Leading indicators","C83: Survey Methods; Sampling Methods","D12: Consumer Economics: Empirical Analysis","I31: General Welfare; Well-Being","","","",611.174787,610.914302,0,0,0,0,0,0,0.139626,610.914302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053286,0,0,0,0,0,2014,9,"2014-9-01"
249,"aer_104_9_9","aer",104,9,9,"Pass-Through of Emissions Costs in Electricity Markets","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.104.9.2858","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.104.9.2872","https://www.aeaweb.org/aer/data/10409/20130186_data.zip","D:/data/EconJournalData/html/aer_vol_104_issue_9_article_9.html","2014/09",11.21,"MB",NA,"D44: Auctions, L11: Production, Pricing, and Market Structure; Size Distribution of Firms, L94: Electric Utilities, L98: Industry Studies: Utilities and Transportation: Government Policy, Q52: Pollution Control Adoption Costs; Distributional Effects; Employment Effects, Q54: Climate; Natural Disasters; Global Warming, ","D44: Auctions","L11: Production, Pricing, and Market Structure; Size Distribution of Firms","L94: Electric Utilities","L98: Industry Studies: Utilities and Transportation: Government Policy","Q52: Pollution Control Adoption Costs; Distributional Effects; Employment Effects","Q54: Climate; Natural Disasters; Global Warming","",131.803576,129.797784,0,0,0,0,26.709914,0,0.105719,103.08787,0,0,0,0,0,0,0,0.010592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,9,"2014-9-01"
43,"aejpol_6_4_7","aejpol",6,4,7,"Cash for Coolers: Evaluating a Large-Scale Appliance Replacement Program in Mexico","TRUE","http://www.aeaweb.org/articles.php?doi=10.1257/pol.6.4.207","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/pol.6.4.207","http://www.aeaweb.org/aej/pol/data/0604/2013-0038_data.zip","D:/data/EconJournalData/html/aejpol_vol_6_issue_4_article_7.html","2014/11",30.67,"MB",NA,"L68: Appliances; Furniture; Other Consumer Durables, L94: Electric Utilities, O12: Microeconomic Analyses of Economic Development, O13: Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products, Q41: Energy: Demand and Supply; Prices, Q54: Climate; Natural Disasters and Their Management; Global Warming, ","L68: Appliances; Furniture; Other Consumer Durables","L94: Electric Utilities","O12: Microeconomic Analyses of Economic Development","O13: Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products","Q41: Energy: Demand and Supply; Prices","Q54: Climate; Natural Disasters and Their Management; Global Warming","",464.808269,464.591144,0,0,0,0,0,0,0.103515,464.591144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,11,"2014-11-01"
235,"aer_104_8_7","aer",104,8,7,"Industry Compensation under Relocation Risk: A Firm-Level Analysis of the EU Emissions Trading Scheme","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.104.8.2456","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.104.8.2482","https://www.aeaweb.org/aer/data/10408/20120646_data.zip","D:/data/EconJournalData/html/aer_vol_104_issue_8_article_7.html","2014/08",18.9,"MB",NA,"H23: Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies, Q52: Pollution Control Adoption Costs; Distributional Effects; Employment Effects, Q53: Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling, Q54: Climate; Natural Disasters; Global Warming, Q58: Environmental Economics: Government Policy, , ","H23: Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies","Q52: Pollution Control Adoption Costs; Distributional Effects; Employment Effects","Q53: Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling","Q54: Climate; Natural Disasters; Global Warming","Q58: Environmental Economics: Government Policy","","",175.776016,175.529754,0,0.036652,0,0,0,0,0.109096,175.529754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,8,"2014-8-01"
33,"aer_98_3_19","aer",98,3,19,"Credit Elasticities in Less-Developed Economies: Implications for Microfinance","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.98.3.1040","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.98.3.1040","http://www.aeaweb.org/aer/data/june08/20070848_data.zip","D:/libraries/ScrapAER/html/aer_vol_98_issue_3_article_19.html","2008/06",2.24,"MB",NA,"G21: Banks; Other Depository Institutions; Micro Finance Institutions; Mortgages, O15: Economic Development: Human Resources; Human Development; Income Distribution; Migration, O16: Economic Development: Financial Markets; Saving and Capital Investment; Corporate Finance and Governance, , , , ","G21: Banks; Other Depository Institutions; Micro Finance Institutions; Mortgages","O15: Economic Development: Human Resources; Human Development; Income Distribution; Migration","O16: Economic Development: Financial Markets; Saving and Capital Investment; Corporate Finance and Governance","","","","",10.520992,10.503195,0,0,0,0,0,0,0.017629,10.503195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168,0,0,0,0,0,2008,6,"2008-6-01"
62,"aer_101_4_4","aer",101,4,4,"The Role of Trading Frictions in Real Asset Markets","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.101.4.1106","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.101.4.1106","http://www.aeaweb.org/aer/data/june2011/20081280_data.zip","D:/libraries/ScrapAER/html/aer_vol_101_issue_4_article_4.html","2011/06",27.13,"MB",NA,"A12: Relation of Economics to Other Disciplines, L11: Production, Pricing, and Market Structure; Size Distribution of Firms, L93: Air Transportation, , , , ","A12: Relation of Economics to Other Disciplines","L11: Production, Pricing, and Market Structure; Size Distribution of Firms","L93: Air Transportation","","","","",239.237162,238.451909,0,0,0,0,0,0,0.107962,238.451909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677291,0,0,0,0,0,2011,5,"2011-5-01"
73,"aer_102_5_16","aer",102,5,16,"The Multi-unit Assignment Problem: Theory and Evidence from Course Allocation at Harvard","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.102.5.2237","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.102.5.2237","http://www.aeaweb.org/aer/data/aug2012/20091443_data.zip","D:/libraries/ScrapAER/html/aer_vol_102_issue_5_article_16.html","2012/05",49.35,"MB",NA,"D63: Equity, Justice, Inequality, and Other Normative Criteria and Measurement, D82: Asymmetric and Private Information, I23: Higher Education and Research Institutions, , , , ","D63: Equity, Justice, Inequality, and Other Normative Criteria and Measurement","D82: Asymmetric and Private Information","I23: Higher Education and Research Institutions","","","","",107.880252,107.055986,0,0,0,0,55.236387,0,0.034609,0.342328,0,0,0,0,0,0,0,0.175894,0,0,0,0,0,0,0,0,0,0,0,0,0,51.477271,0,0,0,2012,8,"2012-8-01"
98,"aer_99_5_6","aer",99,5,6,"Adaptation and Vertical Integration in the Airline Industry","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.99.5.1831","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.99.5.1831","http://www.aeaweb.org/aer/data/dec09/20051176_data.zip","D:/libraries/ScrapAER/html/aer_vol_99_issue_5_article_6.html","2009/12",17.35,"MB",NA,"L14: Transactional Relationships; Contracts and Reputation; Networks, L22: Firm Organization and Market Structure, L24: Contracting Out; Joint Ventures; Technology Licensing, L93: Air Transportation, , , ","L14: Transactional Relationships; Contracts and Reputation; Networks","L22: Firm Organization and Market Structure","L24: Contracting Out; Joint Ventures; Technology Licensing","L93: Air Transportation","","","",67.089605,67.046724,0,0,0,0,0,0,0.041859,67.046724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001022,0,0,0,0,0,2009,12,"2009-12-01"
2,"jep_27_1_10","jep",27,1,10,"The RAND Health Insurance Experiment, Three Decades Later","TRUE","http://www.aeaweb.org/articles.php?doi=10.1257/jep.27.1.197","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/jep.27.1.197","http://www.aeaweb.org/jep/app/2701_RAND_data.zip","D:/data/EconJournalData/html/jep_vol_27_issue_1_article_10.html","2013/02",21.4,"MB",NA,"G22: Insurance; Insurance Companies, I13: Health Insurance, Public and Private, I18: Health: Government Policy; Regulation; Public Health, , , , ","G22: Insurance; Insurance Companies","I13: Health Insurance, Public and Private","I18: Health: Government Policy; Regulation; Public Health","","","","",144.105566,144.041497,0,0,0,0,0,0,0.063213,144.041497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000856,0,0,0,0,0,2013,1,"2013-1-01"
23,"jep_28_2_6","jep",28,2,6,"Five Facts about Value-Added Exports and Implications for Macroeconomics and Trade Research","TRUE","http://www.aeaweb.org/articles.php?doi=10.1257/jep.28.2.119","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/jep.28.2.119","http://www.aeaweb.org/jep/data/2802/2802-0119_data.zip","D:/data/EconJournalData/html/jep_vol_28_issue_2_article_6.html","2014/05",18.6,"MB",NA,"F11: Neoclassical Models of Trade, F14: Empirical Studies of Trade, F23: Multinational Firms; International Business, L16: Industrial Organization and Macroeconomics: Industrial Structure and Structural Change; Industrial Price Indices, L23: Organization of Production, , ","F11: Neoclassical Models of Trade","F14: Empirical Studies of Trade","F23: Multinational Firms; International Business","L16: Industrial Organization and Macroeconomics: Industrial Structure and Structural Change; Industrial Price Indices","L23: Organization of Production","","",103.325665,103.272918,0,0,0,0,0,0,0.010914,103.272918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002456,0,0,0,0,0,2014,4,"2014-4-01"
22,"jep_28_2_5","jep",28,2,5,"Slicing Up Global Value Chains","TRUE","http://www.aeaweb.org/articles.php?doi=10.1257/jep.28.2.99","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/jep.28.2.99","http://www.aeaweb.org/jep/data/2802/2802-0099_data.zip","D:/data/EconJournalData/html/jep_vol_28_issue_2_article_5.html","2014/05",282.32,"MB",NA,"F23: Multinational Firms; International Business, L16: Industrial Organization and Macroeconomics: Industrial Structure and Structural Change; Industrial Price Indices, L23: Organization of Production, M11: Production Management, , , ","F23: Multinational Firms; International Business","L16: Industrial Organization and Macroeconomics: Industrial Structure and Structural Change; Industrial Price Indices","L23: Organization of Production","M11: Production Management","","","",320.693937,320.155128,0,0,0,0,0,0,0.003093,0,0,0,0,0,0,0,0,0.088592,317.77433,0,0,0,0,0,0,0,0,0,0,0,0,2.380798,0,0,0,2014,4,"2014-4-01"
60,"aer_103_5_11","aer",103,5,11,"Taxation and International Migration of Superstars: Evidence from the European Football Market","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.103.5.1892","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.103.5.1892","http://www.aeaweb.org/aer/data/aug2013/20110734_data.zip","D:/libraries/ScrapAER/html/aer_vol_103_issue_5_article_11.html","2013/08",92.67,"MB",NA,"F22: International Migration, H24: Personal Income and Other Nonbusiness Taxes and Subsidies; includes inheritance and gift taxes, H31: Fiscal Policies and Behavior of Economic Agents: Household, J44: Professional Labor Markets; Occupational Licensing, J61: Geographic Labor Mobility; Immigrant Workers, L83: Sports; Gambling; Recreation; Tourism, ","F22: International Migration","H24: Personal Income and Other Nonbusiness Taxes and Subsidies; includes inheritance and gift taxes","H31: Fiscal Policies and Behavior of Economic Agents: Household","J44: Professional Labor Markets; Occupational Licensing","J61: Geographic Labor Mobility; Immigrant Workers","L83: Sports; Gambling; Recreation; Tourism","",556.654471,556.429073,0,0,0,0,0.010897,0,0.093004,556.418176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00518,0,0,0,0,0,2013,8,"2013-8-01"
8,"aejmac_6_2_1","aejmac",6,2,1,"Resolving Debt Overhang: Political Constraints in the Aftermath of Financial Crises","TRUE","http://www.aeaweb.org/articles.php?doi=10.1257/mac.6.2.1","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/mac.6.2.1","http://www.aeaweb.org/aej/mac/data/0602/2012-0022_data.zip","D:/data/EconJournalData/html/aejmac_vol_6_issue_2_article_1.html","2014/04",57.77,"MB",NA,"D72: Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior, E32: Business Fluctuations; Cycles, E44: Financial Markets and the Macroeconomy, G01: Financial Crises, H63: National Debt; Debt Management; Sovereign Debt, , ","D72: Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior","E32: Business Fluctuations; Cycles","E44: Financial Markets and the Macroeconomy","G01: Financial Crises","H63: National Debt; Debt Management; Sovereign Debt","","",527.50607,527.457229,0,0,0,0,0,0,0.040821,527.457229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,4,"2014-4-01"
